Calendar Year,Discharge (ft^3/s)
1902,1052.00
1903,1220.00
1904,1301.00
1905,965.00
1935,479.70
1936,428.00
1937,832.50
1938,704.20
1939,580.20
1940,548.00
1941,548.10
1942,855.00
1943,1342.00
1944,709.90
1945,823.90
1946,561.30
1947,1260.00
1948,1037.00
1949,816.90
1950,1340.00
1951,1034.00
1952,1011.00
1953,542.00
1954,929.10
1955,674.90
1956,930.40
1957,751.20
1958,453.50
1959,930.20
1960,881.00
1961,555.80
1962,539.70
1963,358.00
1964,243.90
1965,617.50
1966,589.90
1967,751.40
1968,1130.00
1969,1051.00
1970,781.40
1971,694.70
1972,896.00
1973,1203.00
1974,1277.00
1975,1208.00
1976,1061.00
1977,558.00
1978,652.80
1979,675.90
1980,889.00
1981,1011.00
1982,1024.00
1983,990.40
1984,744.60
1985,1295.00
1986,1165.00
1987,602.40
1988,809.20
1989,933.90
1990,1181.00
1991,1014.00
1992,1306.00
1993,1474.00
1994,1245.00
1995,928.10
1996,780.90
1997,1008.00
1998,1123.00
1999,677.30
2000,801.90
2001,1238.00
2002,772.20
2003,583.40
2004,1000.00
2005,837.00
2006,1170.00
2007,1038.00
2008,1456.00
2009,1462.00
2010,903.00
2011,1468.00
2012,807.20
2013,938.00
2014,1011.00
2015,896.30
2016,1035.00
2017,1291.00
2018,1231.00
2019,1205.00
